art,standort,jahr,jahrgang,n,s,ca,na,k,mg,p,mn,TC
Buche,site_700,1994,1,,1.4957264957265,17.0042735042735,0.0351388888888889,5.79273504273504,3.9775641025641,,0.0116452991452991,503.205128205128
Buche,site_700,1994,1,21.3903743315508,1.3903743315508,18.5486631016043,0.0401390374331551,5.80641711229947,4.15080213903743,0.835828877005348,0.0235294117647059,500.534759358289
Buche,site_700,1994,1,22.6049515608181,1.72228202368138,15.1420882669537,,8.41227125941873,4.22927879440258,0.985037674919268,0.0156081808396125,495.156081808396
Buche,site_700,1994,1,22.5321888412017,1.28755364806867,13.8508583690987,0.0490557939914163,6.65236051502146,3.07725321888412,1.01105150214592,0.040675965665236,502.145922746781
Buche,site_700,1995,1,23.8095238095238,1.73160173160173,14.3246753246753,0.0443398268398268,7.26082251082251,2.91883116883117,0.826948051948052,0.0173593073593074,506.493506493507
Buche,site_700,1995,1,18.3585313174946,1.61987041036717,17.2742980561555,0.0459827213822894,4.55831533477322,4.49136069114471,0.975053995680346,0.0165766738660907,516.198704103672
Buche,site_700,1995,1,23.0515916575192,,14.1119648737651,0.0497255762897914,5.76509330406147,3.37102085620198,0.851481888035126,0.0199012074643249,511.52579582876
Buche,site_700,1995,1,23.0010952902519,1.75246440306681,15.354874041621,0.0414895947426068,5.49726177437021,3.54654983570646,0.90065717415115,0.0159802847754655,511.500547645126
Buche,site_700,1995,1,19.438444924406,1.40388768898488,12.3952483801296,0.0215226781857451,4.32829373650108,3.93952483801296,0.639956803455724,0.0201403887688985,497.840172786177
Buche,site_700,1995,1,19.8237885462555,1.76211453744493,15.0881057268722,,3.75550660792952,3.26872246696035,0.576651982378855,0.0434030837004405,507.709251101322
Buche,site_700,1996,1,17.5438596491228,1.33662280701754,11.4451754385965,0.0294517543859649,5.08114035087719,3.01644736842105,0.714583333333333,0.00994517543859649,501.425438596491
Buche,site_700,1996,1,15.3172866520788,1.13238512035011,7.25601750547046,0.0325164113785558,5.63129102844639,1.66739606126915,0.520787746170678,0.0111269146608315,521.44420131291
Buche,site_700,1996,1,19.6936542669584,1.64442013129103,15.3971553610503,0.0292669584245077,5.22428884026258,3.85120350109409,0.664989059080963,0.0232275711159737,501.09409190372
Buche,site_700,1996,1,19.629225736096,1.39803707742639,13.3282442748092,0.037917121046892,4.62486368593239,3.80916030534351,0.723009814612868,0.0208396946564885,504.034896401309
Buche,site_700,1996,1,16.2866449511401,1.35396308360478,13.2312703583062,0.0333876221498371,3.63409337676439,3.04125950054289,0.616178067318132,0.0232464712269273,503.365906623236
Buche,site_700,1996,1,20.6521739130435,1.53804347826087,12.345652173913,0.0316521739130435,5.37717391304348,2.84130434782609,0.837391304347826,0.0369347826086956,495
Buche,site_700,1997,1,21.6684723726977,1.5373781148429,17.9349945828819,0.0303575297941495,6.92741061755146,3.82015167930661,0.756554712892741,0.0200650054171181,475.622968580715
Buche,site_700,1997,1,,0.95119305856833,10.5130151843818,0.0314642082429501,4.48915401301518,1.89587852494577,0.415401301518438,0.0147830802603037,488.069414316703
Buche,site_700,1997,1,21.7627856365615,1.6822633297062,18.0195865070729,0.0379651795429815,7.81175190424374,4.34820457018498,0.579978237214363,0.0282263329706202,478.781284004353
Buche,site_700,1997,1,21.6216216216216,1.46702702702703,14.2421621621622,0.0458486486486486,4.87891891891892,4.10054054054054,0.686486486486487,0.0233513513513514,483.243243243243
Buche,site_700,1997,1,18.2795698924731,1.46451612903226,14.1129032258065,0.0323978494623656,5.13978494623656,2.99462365591398,0.641612903225806,0.0238494623655914,496.774193548387
Buche,site_700,1997,1,20.4081632653061,1.53061224489796,14.7475832438238,0.0337379162191192,5.23523093447905,3.10204081632653,0.610848549946294,0.0387218045112782,491.944146079484
Buche,site_700,1998,1,20.3186824938509,1.29290984921399,14.3717249492033,0.0249492032937654,6.2164474387766,3.18896374719281,0.675008020532563,0.0200192492781521,481.231953801732
Buche,site_700,1998,1,15.9846547314578,0.96227621483376,6.73913043478261,0.0159633418584825,8.07225063938619,1.97357203751066,0.522378516624041,0.00858908780903666,492.114236999147
Buche,site_700,1998,1,21.5308429325008,1.64387985789644,18.1203574119927,0.018871783830337,5.62493271611584,4.08224782000215,0.580686833889547,0.0258047152546022,475.831628808268
Buche,site_700,1998,1,21.4938205265986,1.28747984954326,12.518001074691,0.0193121977431488,4.57495969908651,4.11714132186996,0.681461579795809,0.0207737775389575,481.354110693176
Buche,site_700,1998,1,19.2020482184766,1.22893108598251,11.8497973117133,0.01235331768722,6.4252186899936,2.48773202474931,0.653296351610839,0.021612972050352,484.531683379561
Buche,site_700,1998,1,21.2066588908917,1.32435584773619,12.6116000424133,0.0166366238999046,6.88156081009437,2.59039338352243,0.673735552963631,0.0368465698229244,477.679991517336
Buche,site_700,1999,1,19.3153771863934,1.25120721107415,8.510569803627,0.0230711449726365,4.65822513145187,2.02489537504024,0.639982830775834,0.013123725721644,518.832492756734
Buche,site_700,1999,1,19.3029490616622,1.28686327077748,11.8144772117962,0.0273780160857909,5.60857908847185,2.85469168900804,0.678713136729223,0.0227774798927614,495.335120643432
Buche,site_700,1999,1,16.1290322580645,1.01505376344086,12.6064516129032,0.0362043010752688,5.46881720430107,2.74408602150538,0.605806451612903,0.0206344086021505,501.720430107527
Buche,site_700,1999,1,21.5308429325008,1.39627516417268,12.8356120142104,0.0272472817310798,6.26439875121111,2.6052319948326,0.781892561093767,0.0393153191947465,506.297771557756
Buche,site_700,2000,1,18.3387270765912,1.22437971952535,12.42071197411,0.0216936353829558,6.52642934196332,2.3042071197411,0.672384034519957,0.0293311758360302,503.775620280475
Buche,site_700,2000,1,16.1463939720129,1.14208826695371,14.4111948331539,0.0211840688912809,3.86114101184069,2.90204520990312,0.520236813778256,0.0197954790096878,498.385360602799
Buche,site_700,2000,1,16.1290322580645,1.0741935483871,12.7666666666667,0.0204516129032258,5.40752688172043,2.84193548387097,0.593870967741935,0.0169247311827957,501.075268817204
Buche,site_700,2000,1,17.2228202368138,1.03229278794403,8.55435952637244,0.0203875134553283,6.29924650161464,1.58665231431647,0.609149623250807,0.0124219590958019,520.990312163617
Buche,site_700,2000,1,18.3783783783784,1.17945945945946,14.0378378378378,0.0107243243243243,5.01513513513513,2.99459459459459,0.846702702702703,0.0193837837837838,499.459459459459
Buche,site_700,2001,1,21.4868929952729,1.47400085947572,12.5268586162441,0.0175118177911474,6.42565535023636,2.17877094972067,0.688654920498496,0.0299204984959175,506.553502363558
Buche,site_700,2001,1,16.1013310433663,1.03799914126234,9.81000429368828,0.0389437526835552,4.54808930871619,1.35895234006011,0.411227994847574,0.00805066552168313,532.095319879777
Buche,site_700,2001,1,19.2225544639043,1.28897906877403,11.2569414780009,0.023771892353695,4.80029901751388,2.12409226826143,0.619286629645451,0.0165954720205041,507.048269970098
Buche,site_700,2001,1,20.4213241616509,1.32308684436801,14.0756663800516,0.0186801375752365,4.42712811693895,3.00838349097163,0.785361134995701,0.0138865004299226,512.467755803955
Buche,site_700,2002,1,21.3447171824973,1.3863393810032,14.0576307363927,0.0190394877267876,6.28708644610459,2.50373532550694,0.713340448239061,0.030128068303095,501.600853788687
Buche,site_700,2002,1,20.2991452991453,1.28525641025641,13.1773504273504,0.0166773504273504,6.7232905982906,2.62179487179487,0.676495726495727,0.0289102564102564,509.615384615385
Buche,site_700,2002,1,17.0940170940171,1.07799145299145,10.383547008547,0.0119337606837607,4.35576923076923,2.06730769230769,0.561645299145299,0.0170940170940171,503.205128205128
Buche,site_700,2002,1,20.2991452991453,1.24038461538462,13.4807692307692,0.0161965811965812,4.79059829059829,3.36111111111111,0.88707264957265,0.0148931623931624,509.615384615385
Buche,site_700,2003,1,20.1805629314923,1.42326075411577,16.9028146574615,0.0239617631439193,6.25385023898035,3.81200212426978,0.768029739776952,0.0364418481147106,488.58204992034
Buche,site_700,2003,1,19.1123380760246,1.29114461669144,19.0263325546825,0.0226375026544914,4.43193884051816,4.70906774262051,0.631662773412614,0.0137502654491399,487.364620938628
Buche,site_700,2003,1,20.1570125185657,1.38977296838532,16.1744112030554,0.021164863144494,4.49819647782729,3.61340971780182,0.627095268406535,0.0272650116698494,472.098451092722
Buche,site_700,2003,1,19.1652470187394,1.33624361158433,18.7350936967632,0.0341247870528109,5.67184838160136,4.51022146507666,0.72795996592845,0.0263096252129472,482.32538330494
Buche,site_700,2006,1,20.3753351206434,1.33190348525469,12.1104557640751,0.0281179624664879,7.07774798927614,2.93083109919571,0.859517426273459,0.0268954423592493,508.310991957105
Buche,site_700,2006,1,18.2090831191088,1.25214224507284,10.9575835475578,0.0288988860325621,5.66945158526135,3.26371036846615,0.659168808911739,0.0184340188517566,506.640959725793
Buche,site_700,2006,1,18.2032337509369,1.33418995609808,14.605418138987,0.0343184495127958,5.36031695042296,3.40293393296927,0.642252917871292,0.0286219081272085,501.124317378734
Buche,site_700,2006,1,20.4851752021563,1.36819407008086,15.44474393531,0.0224797843665768,5.30134770889488,4.74285714285714,0.778975741239892,0.011277628032345,512.129380053908
